level	processor
108	CPU Processor 0x1d00080000000001
113	Utility Processor 0x1d00090000000000
115	CPU Processor 0x1d00090000000001
120	Utility Processor 0x1d000a0000000000
122	CPU Processor 0x1d000a0000000001
127	Utility Processor 0x1d000b0000000000
129	CPU Processor 0x1d000b0000000001
134	Utility Processor 0x1d000c0000000000
136	CPU Processor 0x1d000c0000000001
141	Utility Processor 0x1d000d0000000000
143	CPU Processor 0x1d000d0000000001
148	Utility Processor 0x1d000e0000000000
150	CPU Processor 0x1d000e0000000001
155	Utility Processor 0x1d000f0000000000
4	Utility Processor 0x1d00000000000000
6	CPU Processor 0x1d00000000000001
56	Utility Processor 0x1d00010000000000
59	CPU Processor 0x1d00010000000001
64	Utility Processor 0x1d00020000000000
66	CPU Processor 0x1d00020000000001
71	Utility Processor 0x1d00030000000000
73	CPU Processor 0x1d00030000000001
78	Utility Processor 0x1d00040000000000
80	CPU Processor 0x1d00040000000001
85	Utility Processor 0x1d00050000000000
87	CPU Processor 0x1d00050000000001
92	Utility Processor 0x1d00060000000000
157	CPU Processor 0x1d000f0000000001
94	CPU Processor 0x1d00060000000001
99	Utility Processor 0x1d00070000000000
101	CPU Processor 0x1d00070000000001
106	Utility Processor 0x1d00080000000000
187	System Memory 0x1e00090000000000
160	System Memory 0x1e00000000000000
190	System Memory 0x1e000a0000000000
202	System Memory 0x1e000e0000000000
172	System Memory 0x1e00040000000000
181	System Memory 0x1e00070000000000
205	System Memory 0x1e000f0000000000
175	System Memory 0x1e00050000000000
163	System Memory 0x1e00010000000000
184	System Memory 0x1e00080000000000
196	System Memory 0x1e000c0000000000
193	System Memory 0x1e000b0000000000
199	System Memory 0x1e000d0000000000
166	System Memory 0x1e00020000000000
169	System Memory 0x1e00030000000000
178	System Memory 0x1e00060000000000
