level	start	end	color	opacity	title
3	14536	14747	#006fff	1.0	Scheduler initiated by="Operation <0>" total=211 us start=14536 us stop=14747 us
3	14779	14782	#003fff	1.0	State Analaysis initiated by="main <1>" total=3 us start=14779 us stop=14782 us
3	14813	14856	#FFC0CB	1.0	ProfTask total=43 us start=14813 us stop=14856 us
3	14864	15358	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="main <1>" total=494 us start=14864 us stop=15358 us
3	15365	15366	#FFC0CB	1.0	ProfTask <1> total=1 us start=15365 us stop=15366 us
3	15367	15368	#FFC0CB	1.0	ProfTask <1> total=1 us start=15367 us stop=15368 us
3	15426	15459	#ff00e3	1.0	Decrement Pending Task initiated by="main <1>" total=33 us start=15426 us stop=15459 us
3	15469	15470	#FFC0CB	1.0	ProfTask <1> total=1 us start=15469 us stop=15470 us
3	15628	15777	#0093ff	1.0	Logical Dependence Analysis initiated by="test <3>" total=149 us start=15628 us stop=15777 us
3	15783	15904	#006600	1.0	Post initiated by="main <1>" total=121 us start=15783 us stop=15904 us
3	15910	15937	#006fff	1.0	Scheduler initiated by="Operation <0>" total=27 us start=15910 us stop=15937 us
3	15942	15946	#FFC0CB	1.0	ProfTask <1> total=4 us start=15942 us stop=15946 us
3	15947	15948	#FFC0CB	1.0	ProfTask <3> total=1 us start=15947 us stop=15948 us
3	15949	15949	#FFC0CB	1.0	ProfTask <1> total=0 us start=15949 us stop=15949 us
3	15951	15995	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="test <3>" total=44 us start=15951 us stop=15995 us
3	16001	16018	#006fff	1.0	Scheduler initiated by="Operation <0>" total=17 us start=16001 us stop=16018 us
3	16022	16023	#FFC0CB	1.0	ProfTask total=1 us start=16022 us stop=16023 us
3	16024	16025	#FFC0CB	1.0	ProfTask <3> total=1 us start=16024 us stop=16025 us
3	16026	16080	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="test <3>" total=54 us start=16026 us stop=16080 us
3	16085	16086	#FFC0CB	1.0	ProfTask total=1 us start=16085 us stop=16086 us
3	16090	16091	#FFC0CB	1.0	ProfTask <3> total=1 us start=16090 us stop=16091 us
3	16100	16102	#ff00e3	1.0	Decrement Pending Task initiated by="test <3>" total=2 us start=16100 us stop=16102 us
3	16107	16108	#FFC0CB	1.0	ProfTask <3> total=1 us start=16107 us stop=16108 us
3	17196	17279	#0093ff	1.0	Logical Dependence Analysis initiated by="structured_partition <4>" total=83 us start=17196 us stop=17279 us
3	17289	17307	#006fff	1.0	Scheduler initiated by="Operation <0>" total=18 us start=17289 us stop=17307 us
3	17311	17312	#FFC0CB	1.0	ProfTask <4> total=1 us start=17311 us stop=17312 us
3	17313	17489	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="structured_partition <4>" total=176 us start=17313 us stop=17489 us
3	17500	17501	#FFC0CB	1.0	ProfTask total=1 us start=17500 us stop=17501 us
3	17502	17503	#FFC0CB	1.0	ProfTask <4> total=1 us start=17502 us stop=17503 us
3	17514	17516	#ff00e3	1.0	Decrement Pending Task initiated by="structured_partition <4>" total=2 us start=17514 us stop=17516 us
3	17522	17523	#FFC0CB	1.0	ProfTask <4> total=1 us start=17522 us stop=17523 us
3	17916	18184	#006600	1.0	Post initiated by="structured_partition <4>" total=268 us start=17916 us stop=18184 us
3	18192	18193	#FFC0CB	1.0	ProfTask <4> total=1 us start=18192 us stop=18193 us
3	18196	18197	#FFC0CB	1.0	ProfTask <4> total=1 us start=18196 us stop=18197 us
3	18359	18408	#0093ff	1.0	Logical Dependence Analysis initiated by="init <5>" total=1692 us start=18359 us stop=20051 us (wait for 25 us)
3	18408	18411	#0093ff	0.15	Logical Dependence Analysis initiated by="init <5>" total=1692 us start=18359 us stop=20051 us (wait for 25 us)
3	18411	18433	#0093ff	0.45	Logical Dependence Analysis initiated by="init <5>" total=1692 us start=18359 us stop=20051 us (wait for 25 us)
3	18433	20051	#0093ff	1.0	Logical Dependence Analysis initiated by="init <5>" total=1692 us start=18359 us stop=20051 us (wait for 25 us)
3	20059	20077	#006fff	1.0	Scheduler initiated by="Operation <0>" total=18 us start=20059 us stop=20077 us
3	20082	20094	#0093ff	1.0	Logical Dependence Analysis initiated by="structured_partition <6>" total=12 us start=20082 us stop=20094 us
3	20098	20113	#006fff	1.0	Scheduler initiated by="Operation <0>" total=15 us start=20098 us stop=20113 us
3	20117	20118	#FFC0CB	1.0	ProfTask <5> total=1 us start=20117 us stop=20118 us
3	20119	20586	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="init <5>" total=4571 us start=20119 us stop=24690 us (wait for 4068 us)
3	20586	24651	#2b00ff	0.15	Task Physical Dependence Analysis initiated by="init <5>" total=4571 us start=20119 us stop=24690 us (wait for 4068 us)
3	24651	24654	#2b00ff	0.45	Task Physical Dependence Analysis initiated by="init <5>" total=4571 us start=20119 us stop=24690 us (wait for 4068 us)
3	24654	24690	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="init <5>" total=4571 us start=20119 us stop=24690 us (wait for 4068 us)
2	20127	20228	#fff500	1.0	Mapper Call slice_task total=101 us start=20127 us stop=20228 us
2	20590	20631	#ff0077	1.0	Deferred Slice initiated by="init <7> (<-init <5>)" total=41 us start=20590 us stop=20631 us
2	20637	22629	#ff0077	1.0	Deferred Slice initiated by="init <8> (<-init <5>)" total=3538 us start=20637 us stop=24175 us (wait for 759 us)
2	22629	23378	#ff0077	0.15	Deferred Slice initiated by="init <8> (<-init <5>)" total=3538 us start=20637 us stop=24175 us (wait for 759 us)
2	23378	23388	#ff0077	0.45	Deferred Slice initiated by="init <8> (<-init <5>)" total=3538 us start=20637 us stop=24175 us (wait for 759 us)
2	23388	24175	#ff0077	1.0	Deferred Slice initiated by="init <8> (<-init <5>)" total=3538 us start=20637 us stop=24175 us (wait for 759 us)
1	20992	21859	#ff7700	1.0	Mapper Call map_task for init <15> (<-init <8> (<-init <5>)) total=867 us start=20992 us stop=21859 us
1	22460	22618	#ff7700	1.0	Mapper Call map_task for init <16> (<-init <8> (<-init <5>)) total=158 us start=22460 us stop=22618 us
1	23375	23380	#ff00e3	1.0	Decrement Pending Task initiated by="init <15> (<-init <8> (<-init <5>))" total=5 us start=23375 us stop=23380 us
2	24185	24193	#ff0077	1.0	Deferred Slice initiated by="init <9> (<-init <5>)" total=8 us start=24185 us stop=24193 us
2	24198	24200	#ff0077	1.0	Deferred Slice initiated by="init <10> (<-init <5>)" total=24 us start=24198 us stop=24222 us (wait for 17 us)
2	24200	24209	#ff0077	0.15	Deferred Slice initiated by="init <10> (<-init <5>)" total=24 us start=24198 us stop=24222 us (wait for 17 us)
2	24209	24217	#ff0077	0.45	Deferred Slice initiated by="init <10> (<-init <5>)" total=24 us start=24198 us stop=24222 us (wait for 17 us)
2	24217	24222	#ff0077	1.0	Deferred Slice initiated by="init <10> (<-init <5>)" total=24 us start=24198 us stop=24222 us (wait for 17 us)
1	24208	24210	#ff00e3	1.0	Decrement Pending Task initiated by="init <16> (<-init <8> (<-init <5>))" total=2 us start=24208 us stop=24210 us
2	24227	24232	#ff0077	1.0	Deferred Slice initiated by="init <11> (<-init <5>)" total=5 us start=24227 us stop=24232 us
2	24236	24240	#ff0077	1.0	Deferred Slice initiated by="init <12> (<-init <5>)" total=4 us start=24236 us stop=24240 us
2	24245	24249	#ff0077	1.0	Deferred Slice initiated by="init <13> (<-init <5>)" total=4 us start=24245 us stop=24249 us
2	24253	24646	#ff0077	1.0	Deferred Slice initiated by="init <14> (<-init <5>)" total=393 us start=24253 us stop=24646 us
3	24698	24715	#006fff	1.0	Scheduler initiated by="Operation <0>" total=17 us start=24698 us stop=24715 us
3	24719	24731	#006fff	1.0	Scheduler initiated by="Operation <0>" total=12 us start=24719 us stop=24731 us
3	24735	24745	#006fff	1.0	Scheduler initiated by="Operation <0>" total=10 us start=24735 us stop=24745 us
3	24749	24760	#006fff	1.0	Scheduler initiated by="Operation <0>" total=11 us start=24749 us stop=24760 us
3	24769	24781	#006fff	1.0	Scheduler initiated by="Operation <0>" total=12 us start=24769 us stop=24781 us
3	24784	25069	#006fff	1.0	Scheduler initiated by="Operation <0>" total=285 us start=24784 us stop=25069 us
3	25074	25090	#006fff	1.0	Scheduler initiated by="Operation <0>" total=16 us start=25074 us stop=25090 us
3	25095	25096	#FFC0CB	1.0	ProfTask total=1 us start=25095 us stop=25096 us
3	25098	25099	#FFC0CB	1.0	ProfTask <6> total=1 us start=25098 us stop=25099 us
3	25101	25111	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="structured_partition <6>" total=10 us start=25101 us stop=25111 us
3	25116	25129	#006fff	1.0	Scheduler initiated by="Operation <0>" total=13 us start=25116 us stop=25129 us
3	25133	25464	#FFC0CB	1.0	ProfTask total=331 us start=25133 us stop=25464 us
3	25467	25468	#FFC0CB	1.0	ProfTask <7> total=1 us start=25467 us stop=25468 us
3	25470	25473	#FFC0CB	1.0	ProfTask <15> total=3 us start=25470 us stop=25473 us
3	25474	25474	#FFC0CB	1.0	ProfTask <16> total=0 us start=25474 us stop=25474 us
3	25476	25476	#FFC0CB	1.0	ProfTask <15> total=0 us start=25476 us stop=25476 us
3	25477	25478	#FFC0CB	1.0	ProfTask <8> total=1 us start=25477 us stop=25478 us
3	25479	25480	#FFC0CB	1.0	ProfTask <9> total=1 us start=25479 us stop=25480 us
2	25480	25481	#FFC0CB	1.0	ProfTask <16> total=1 us start=25480 us stop=25481 us
3	25482	25482	#FFC0CB	1.0	ProfTask <10> total=0 us start=25482 us stop=25482 us
3	25483	25484	#FFC0CB	1.0	ProfTask <11> total=1 us start=25483 us stop=25484 us
3	25485	25485	#FFC0CB	1.0	ProfTask <12> total=0 us start=25485 us stop=25485 us
3	25486	25487	#FFC0CB	1.0	ProfTask <13> total=1 us start=25486 us stop=25487 us
3	25488	25489	#FFC0CB	1.0	ProfTask <14> total=1 us start=25488 us stop=25489 us
3	25490	25490	#FFC0CB	1.0	ProfTask <5> total=0 us start=25490 us stop=25490 us
3	25492	28050	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="init <7> (<-init <5>)" total=3007 us start=25492 us stop=28499 us (wait for 23 us)
3	28050	28061	#2b00ff	0.15	Task Physical Dependence Analysis initiated by="init <7> (<-init <5>)" total=3007 us start=25492 us stop=28499 us (wait for 23 us)
3	28061	28073	#2b00ff	0.45	Task Physical Dependence Analysis initiated by="init <7> (<-init <5>)" total=3007 us start=25492 us stop=28499 us (wait for 23 us)
3	28073	28499	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="init <7> (<-init <5>)" total=3007 us start=25492 us stop=28499 us (wait for 23 us)
2	26729	27156	#ff7700	1.0	Mapper Call map_task for init <17> (<-init <7> (<-init <5>)) total=427 us start=26729 us stop=27156 us
2	28058	28064	#ff00e3	1.0	Decrement Pending Task initiated by="init <17> (<-init <7> (<-init <5>))" total=6 us start=28058 us stop=28064 us
3	28506	28508	#FFC0CB	1.0	ProfTask total=2 us start=28506 us stop=28508 us
3	28510	30227	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="init <9> (<-init <5>)" total=3515 us start=28510 us stop=32025 us (wait for 416 us)
3	30227	30234	#2b00ff	0.15	Task Physical Dependence Analysis initiated by="init <9> (<-init <5>)" total=3515 us start=28510 us stop=32025 us (wait for 416 us)
